Ano,Quantidade
1999,1
2000,0
2001,0
2002,3
2003,4
2004,5
2005,6
2006,13
2007,14
2008,9
2009,7
2010,18
2011,27
2012,32
2013,10
2014,20
2015,20
2016,20
2017,19
2018,27
2019,29
2020,34
2021,7
