Ano,Quantidade
1999,0
2000,0
2001,0
2002,1
2003,1
2004,0
2005,0
2006,1
2007,2
2008,0
2009,5
2010,6
2011,12
2012,20
2013,7
2014,13
2015,13
2016,18
2017,13
2018,24
2019,28
2020,31
2021,2
